course_code,course_id,course_name,faculty,school,,keywords,,,,,,#VALUE!,,overview
ARTS1452,ARTS1452Undergraduate,Chinese 1 for Background Speakers,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"chinese,background,speakers,chin,management",,,,,,Course Link,,"This introductory Chinese course is for Chinese background speakers who recognise fewer than 50 Chinese characters. Starting from Pinyin, the official phonetic system of Standard Chinese, the course helps you establish a systematic learning pattern and develops your four language skills (i.e. listening, speaking, reading and writing) in an integrated manner. It introduces you approximately 150 vocabulary words, along with the associated sociocultural and linguistic awareness in day-to-day topics, such as greetings, introducing oneself, making an appointment and talking about university life."
ARTS1453,ARTS1453Undergraduate,Chinese 2 for Background Speakers,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"chinese,background,speakers,chin,management",,,,,,Course Link,,"This Chinese language course is designed for Chinese background speakers who have acquired a sound knowledge of Chinese in the previous introductory course ARTS1452 or have a comparable knowledge of Chinese. As a continuation of the previous work, this course develops your four language skills (i.e. listening, speaking, reading and writing) in an integrated way, with a particular focus on reading and writing skills. In this course, you will learn approximately 350 vocabulary words and the associated sociocultural and linguistic awareness for everyday topics such as talking about the weather, seeing a doctor, renting an apartment and preparing for travel."
ARTS1480,ARTS1480Undergraduate,French 1,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"french,fren,management,design,research",,,,,,Course Link,,"Why not join the rich, vibrant and diverse community of French speakers around the world and become a global citizen? The French-speaking world represents one of the biggest international linguistic zones in the world with an estimated 321 million speakers spread on all 5 continents. This course will take you through the basics of language acquisition and introduce you to elements of French culture: you will gain the basic competencies necessary to speak and write about yourself, your family, your friends and your personal preferences, and teach you how to introduce yourself and interact appropriately in a professional environment."
ARTS1481,ARTS1481Undergraduate,French 2,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"french,fren,management,design,research",,,,,,Course Link,,"You have already learnt the basics (such as numbers, how to say your name, age, etc.) but don't feel confident enough in using the French language in usual everyday situations? Then this course will be perfect for you as it will help you consolidate previous knowledge and develop new competencies in both spoken and written French, whether in personal or professional circumstances. Going shopping, ordering food, talking about your past experiences or making plans for the future are just examples of real life situations that this course will enable you to successfully navigate. Come and join us if you really want to make the most of all those intercultural experiences awaiting you!"
ARTS1510,ARTS1510Undergraduate,German 1,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"german,germ,management,design,research",,,,,,Course Link,,"If you are interested in learning the most commonly spoken first language in Europe and have no prior knowledge of the German language, then German 1 is the right course for you. Based on a communicative and task-based approach, this course is designed to help you quickly develop your proficiency in basic oral and written German. Vocabulary and basic German grammar are presented in contexts that are relevant for everyday language use. If you are a first-time language learner, we will equip you with basic language learning strategies to make your learning process more effective. The course introduces you to important facets of German societies and culture and, in this way, give you a better understanding of life in German-speaking countries."
ARTS1511,ARTS1511Undergraduate,German 2,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"german,germ,management,design,research",,,,,,Course Link,,"German 2 follows the successful completion of German 1 or an equivalent language level course offered through other institutions. In this course you can consolidate and build on your previously acquired German language skills. You will expand your vocabulary and learn new grammatical structures in German that will help you communicate in everyday situations in German-speaking contexts. Based on a communicative and task-based approach, this course is designed to help you quickly develop your proficiency in basic oral and written German communication skills. The course further introduces you to interesting socio-cultural aspects of life in German-speaking countries."
ARTS1540,ARTS1540Undergraduate,Modern Greek 1,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"greek,mode,management,design,research",,,,,,Course Link,,"The Greek language, however intricate, is more than yet another foreign language; it is the key to unlocking a great culture that is the backbone of our modern civilization. In this course you are introduced to the Greek language and you will begin to learn functional Greek, which can be used in everyday life in Greece. You are exposed to the Greek alphabet to make reading and writing possible as from the first week of classes. Basic grammatical and syntactical aspects of Greek are introduced through oral, listening and reading activities. The morphology and structure of the language is presented in the context of culturally relevant topics which concern the modern Greek world like popular culture, music, cuisine, travel, traditions, cinema and current affairs."
ARTS1541,ARTS1541Undergraduate,Modern Greek 2,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"greek,mode,management,design,research",,,,,,Course Link,,"This course is a continuation of Introductory Greek A which is a pre-requisite, unless you who have otherwise acquired a basic knowledge of reading, writing and speaking Greek. It provides an introductory to intermediate level program in Greek language study and culture. Basic grammatical and syntactical aspects of Greek are further examined through oral, listening and reading activities. The morphology and structure of the language are presented in the context of culturally relevant topics which concern the modern Greek world. These are also presented in English. As for Introductory Greek A, topics explored include aspects of popular culture and current affairs. These topics will be explored in greater detail than in Introductory Greek A."
ARTS1570,ARTS1570Undergraduate,Spanish 1,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"spanish,span,management,design,research",,,,,,Course Link,,"Spanish is the language of over four hundred million people. It is spoken officially in 23 countries, and it is the second language of the United States, where there are some 45 million Spanish speakers. Spanish is also one of the four major languages of the European Union alongside English, French, and German. If you are interested in learning one of the most commonly spoken first languages in the world and have no prior knowledge of the Spanish language, then this is the right course for you. Based on a communicative and culture-based approach, this course is designed to help you quickly develop your proficiency in basic oral and written Spanish. Vocabulary and basic Spanish grammar are presented in contexts that are relevant for everyday language use. You will also learn basic language learning strategies to make your learning process more effective."
ARTS1571,ARTS1571Undergraduate,Spanish 2,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"spanish,span,management,design,research",,,,,,Course Link,,"Spanish is the language of over four hundred million people. It is spoken officially in 23 countries and it is the second language of the United States, where there are some 45 million Spanish speakers. Spanish is also one of the four major languages of the European Union alongside English, French and German. If you are interested in learning one of the most commonly spoken first languages in the world and have some prior knowledge of the Spanish language, then Introductory Spanish B is the right course for you. Based on a communicative and culture-based approach, this course is designed to help you quickly develop your proficiency in basic oral and written Spanish. Vocabulary and basic Spanish grammar are presented in contexts that are relevant for everyday language use. You will also learn basic language learning strategies to make your learning process more effective. The course introduces you to some facets of Hispanic societies and culture and, in this way, gives you a better understanding of life in Hispanic-speaking countries and also a basic insight into the culture of the Spanish speaking world. We are the first and only university in Australia using the innovative Online Coaching program which offers you a unique opportunity to work outside of class with a personal, native-speaker language coach located in a Spanish Speaking country in a real-time, online learning environment. We hope that this unique personal experience will be truly enjoyable and will motivate you to continue learning Spanish."
ARTS1630,ARTS1630Undergraduate,Japanese 1,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"japanese,japa,management,design,research",,,,,,Course Link,,"The course introduces the Japanese sound system, basic greetings as well as a number of basic Japanese structures and vocabulary expressed in Hiragana and Katakana syllabaries that are essential to basic Japanese communication. This course is for those who have no or almost no knowledge of Japanese. The following five social/cultural topics will be covered: 1. Greetings and meeting new friends; 2. Asking about things around you; 3. Daily routines; 4. Locations; 5. Likes and dislikes. On each topic, while studying the language, you are challenged to discover different approaches to viewing the world around you linguistically and culturally, and are given the opportunity to understand current sociocultural issues in Japan. You are also introduced to learning routines necessary to succeed in the fast pace learning of a foreign language."
ARTS1631,ARTS1631Undergraduate,Japanese 2,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"japanese,japa,management,design,research",,,,,,Course Link,,"The course follows ‘Japanese 1' and further introduces a number of basic Japanese structures and vocabulary that are essential to basic Japanese communication. It also offers learning of about 85 new Kanji, Japanese characters. The following five social/cultural topics will be covered: 1. Favorite things and activities, 2. Describing others, 3. Ordering food, 4. Talking about your childhood, 5. Annual events. On each topic, while studying the language, you are challenged to discover different approaches to viewing the world around you linguistically and culturally and are given the opportunity to understand current sociocultural issues in Japan."
ARTS1660,ARTS1660Undergraduate,Korean 1,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"korean,kore,management,design,research",,,,,,Course Link,,"This course provides introductory level tuition in Korean language from a communicative and task-based approach. The medium of instruction is English and, wherever appropriate, Korean. Through this course, you will develop basic communicative skills in Korean through various speaking and writing activities. The course begins with the Korean sound system and basic greetings and introduces a number of grammatical structures and vocabulary that are essential to basic communication in Korean. Vocabulary and grammatical structures are expressed in Hangeul and presented within the context of culturally relevant topics. The topics covered in the course include introductions and greetings, Korean alphabet, exchanging information, offering and asking, counting, telling the time and making appointments, discussing daily routines as well as food, travelling and places in Korea. Wherever appropriate, the course utilises K-pop materials and 'cyber-realia'.  "
ARTS1661,ARTS1661Undergraduate,Korean 2,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"korean,kore,management,design,research",,,,,,Course Link,,"This course provides introductory level tuition in Korean language from a communicative and task-based approach. The medium of instruction is English and, wherever appropriate, Korean. Through this course, you will continue to develop basic communicative skills in Korean through various speaking and writing activities, while expanding your understanding of how the Korean language works and how the Korean way of life contrasts with your own. The topics covered in the course include how you travel to university, your family, study, hobbies and favourite sports, daily and weekend activities, house, clothing and favourite colours, and feelings and emotions, and shops and goods for sale, and weather and climate. Wherever appropriate, the course utilises K-pop materials and 'cyber-realia'.  "
ARTS1690,ARTS1690Undergraduate,The Structure of Language,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"structure,language,the,management,design",,,,,,Course Link,,"This course is an introduction to linguistics (the scientific study of language) and focuses on the traditional core areas of language structure including: the sound system (phonetics and phonology), morphology (word structure), syntax (clause and sentence structure), and meaning (semantics and pragmatics). You will have the opportunity to work with linguistic data from English and a wide range of different languages. You will learn to analyse language using appropriate linguistic concepts and terminology and to argue the merits of that analysis."
ARTS1691,ARTS1691Undergraduate,The Use of Language,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"language,the,management,design,research",,,,,,Course Link,,"You will examine how contemporary linguists address issues of language use. You will explore topics such as the nature of human communication, the influence of social attitudes on language, first and second language acquisition and development, the historical development of languages, and language universals and language typology. You will also explore regional and situational variation in language. You will have the opportunity to work with and analyse real linguistic data."
ARTS1750,ARTS1750Undergraduate,Introduction to Global Development,"Faculty of Arts, Design & Arch",School of Social Sciences,,"global,development,intr,management,design",,,,,,Course Link,,"This introductory course considers global development, policies and practices as processes of change informed by particular ideas of what a good life should be. Communities all around the world are subject to policies and projects that seek to change their lives for the better. Some succeed, some do not. Some are designed locally, some are designed much further away. Some are the result of shared ideas about what makes human life better while others are challenges to the way things are and call for dramatic changes to society. Other major changes come about through external factors: the coronavirus pandemic, conflict and forced migration, climate change and extreme weather events, amongst others. In this course, we explore what drives development interventions, their impacts on communities, the ways they respond, and where resistance occurs. We also explore the processes and influences that operate at a global level and that impact such fundamental concerns as human rights, gender equality, population health, environmental and climate change, and migration."
ARTS1753,ARTS1753Undergraduate,"Culture, Experience and Change","Faculty of Arts, Design & Arch",School of Social Sciences,,"culture,experience,change,cult,management",,,,,,Course Link,,"Do you want to understand cultural experience? This interdisciplinary social science gateway course equips you with foundational knowledge in sociology and development studies that will help you to understand some of the key social challenges the world is grappling with such as power and inequality, human security, human mobility, human rights, and globalisation. The course will help you develop the conceptual and analytical skills to situate these topics within their broader cultural contexts, and guide you to closely examine taken for granted assumptions and ideas about them.  In this course, you will explore the lived experience of people and cultures around the world and how they make meaning, sensitising you to intercultural understanding. On completion of the course, you will have a general understanding of the social forces that make us human, make us different and will help you to navigate complexity in an ever-changing world.  Themes, concepts, theoretical and analytical frameworks introduced this course will provide you with a solid foundation for studying in one of the many social sciences disciplines. "
ARTS1780,ARTS1780Undergraduate,Concepts of Europe,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"concepts,europe,conc,management,design",,,,,,Course Link,,"What is Europe? How is it defined? Who and what is regarded as ‘European’? Where (and when) does Europe begin and end? In this course you will explore diverse answers that have been given to these questions over the centuries from various perspectives. You will learn about classical culture, religion, Enlightenment, revolutions, ideologies and wars and how such key concepts, institutions, movements and processes have informed divergent understandings of what is and is not ‘European’. You will explore historical and ongoing controversies about the continent, its self-understanding, its internal differences and its distinctiveness from, and relationship with, other parts of the world."
ARTS1782,ARTS1782Undergraduate,Contemporary Europe in Crisis: Power and Culture,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"contemporary,europe,crisis,power,culture",,,,,,Course Link,,"Contemporary Europe in Crisis: Power and Culture explores the unprecedented challenges facing contemporary Europe, through academic analysis, political commentary, film and novels. The processes of economic and political integration, heralded by the European Union, are under existential threat, and nationalism is on the rise. To the west, British disaffection with perceived loss of sovereignty has led to a referendum passing 'Brexit', indicating the intention of a member state to leave the EU for the first time. To its south, Europe is dealing with a refugee crisis brought on by wars in north Africa and the Middle East. On its Eastern flank, tensions with Russia are heightened, especially over Ukraine. The relationship between Europe and the USA in the aftermath of the Trump presidency is also in flux. All this is taking place while Europe has been reeling from the global financial crisis, with stringent austerity measures in some countries leading to great social deprivation and political unrest. This has created a resurgent right wing, which blames Europe's ills on immigrant populations, especially the Islamic community. Europe pressingly seeks to reconcile its liberal and secular ideals with the competing demands of nationalism and religious fundamentalism. This course will introduce the social, cultural and political crisis in contemporary Europe through a cultural lens."
ARTS1810,ARTS1810Undergraduate,Foundations of Politics and International Relations,"Faculty of Arts, Design & Arch",School of Social Sciences,,"foundations,politics,international,relations,foun",,,,,,Course Link,,"Where does power lie in politics? Whose explanations about how the world works are valued and why? This course will equip you with some of the skills necessary to begin formulating your own answers to these questions. You will be introduced to the idea of studying politics, both domestic and international, as an academic discipline, and to some of the key academic conventions and standards that are important to the discipline: the idea of evidence-based argument, for example, and the idea of ethical scholarship. We will also discuss the formation of the modern state system and interrogate the conceptualisation of the state that informs much contemporary theory and practice in politics at the national and international level."
ARTS1811,ARTS1811Undergraduate,Contemporary Issues in Government and Global Politics,"Faculty of Arts, Design & Arch",School of Social Sciences,,"contemporary,issues,government,global,politics",,,,,,Course Link,,"This course investigates some of the most significant issues facing the world today such as the recurrence of violence between and within countries; the difficulty of lifting large numbers of people out of poverty; what is to happen to people who do not have a home in any country; increasing environmental destruction; intensifying global financial instability; and whether the current structures and processes of governance are adequate to address these issues. In doing so, the course also introduces you to some of the different ways in which Politics and International Relations scholars seek to analyse these issues, giving you the opportunity to develop the skills of analysis needed for more advanced study in Politics and International Relations. At the conclusion of the course, you will have developed an appreciation of the scope and significance of the study of contemporary global politics, and some of the strengths and limitations of existing ways of analysing some of the most pressing problems facing the world."
ARTS1846,ARTS1846Undergraduate,"Politics, Peace and Prosperity","Faculty of Arts, Design & Arch",School of Social Sciences,,"politics,peace,prosperity,poli,management",,,,,,Course Link,,"Why are some countries more peaceful and prosperous than others? And how, and to what extent, are peace and prosperity related? In this course you will critically examine these questions, with a particular focus on the concept of political development and the role of the state in promoting prosperity and peace. To this end, you will trace the emergence of different approaches to national governance across the globe, with a view to illuminating the various ways in which state actors might influence (or seek to influence) the economic and pacific trajectories of their nations. You will also investigate the range of ideational, institutional and structural factors that might enable and constrain states in their pursuit of peace and prosperity. "
ARTS1870,ARTS1870Undergraduate,Rethinking the Social,"Faculty of Arts, Design & Arch",School of Social Sciences,,"rethinking,social,reth,management,design",,,,,,Course Link,,"This course is an introduction to sociological and anthropological perspectives on the nature of the social. You will consider questions such as: What is the social? What is the relation between the individual and society? How is the social lived and experienced? How do we understand the everyday? You will examine the social as idea, concept and experience through themes such as biography and selfhood, identity and difference, power and freedom, nature and culture, and state and nation. On completion of the course, you will have a general understanding of the key concepts underpinning sociological and anthropological perspectives on the study of social life. The course will provide many opportunities to reflect on the relevance of these themes for other disciplines of study. "
ARTS1900,ARTS1900Undergraduate,Gendered Worlds: Introduction to Gender Studies,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"gendered,worlds,gender,studies,gend",,,,,,Course Link,,"This course is an interdisciplinary introduction to the study of women, gender and sexualities through the frameworks of world history, cross-cultural analysis and social theory. You will begin with questions that are fundamental to gender studies – such as ‘what is gender?’ – and trace them across time and place to demonstrate how gender intersects with race, class, sexuality and other markers in different historical and cultural contexts. You will consider how religion, colonialism, nationalism and cross-cultural contacts have shaped and influenced gender roles and relations. The course will also introduce you to key debates and developments in gender studies, including the question of when and how patriarchies emerged, influential theories of intersectionality and gender performativity, and the emergence of trans studies."
ARTS2019,ARTS2019Undergraduate,Writing Short Stories,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"writing,short,stories,writ,management",,,,,,Course Link,,"In this course, you will learn to harness your imagination and compose a short story. Together, we will consider a variety of works from Australia and around the world, and we will explore the principles that have shaped the development of this form such as compression, the epiphany, and the contemporary first-person testimony. In addition, we will look at techniques and strategies crucial to the success of the short form and useful to your development as writers, including the artful use of language, point of view, character development, narrative design, and your own voice, style and position as a contemporary writer of short fiction."
ARTS2021,ARTS2021Undergraduate,Creative Writing Project,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"creative,writing,project,crea,management",,,,,,Course Link,,"This course allows for greater focus on a single writing project of your choice and seeks to build on the skills acquired in Level One creative writing courses. You will have the opportunity to develop a sustained creative work in fiction, nonfiction, poetry, or playwriting over the duration of the term, where classes are structured to support the development of work to a final draft stage. Different creative methodologies and aspects of reflective practice will form a key part of the development of your work, and you will also hone your skills in the following areas: reading draft work critically, providing effective peer feedback and positioning your work in relation to the contemporary literary sphere. "
ARTS2022,ARTS2022Undergraduate,"Writing, Publishing, and Literary Culture","Faculty of Arts, Design & Arch",School of the Arts & Media,,"writing,publishing,literary,culture,writ",,,,,,Course Link,,"What role does the publishing industry play in shaping literary culture, and how do writers navigate their way in today’s world? In this course you will examine the early process of canon formation in industry features such as book prizes and writers’ festivals. You will learn how a writer's voice and public profile are influenced by professional figures from agents to editors to sensitivity readers. With input from industry practitioners and scholars of book history you will explore the material life of the books we read, study and love, and develop your own practical knowledge of how to engage with this world as a writer and thinker with ideas to share."
ARTS2031,ARTS2031Undergraduate,Australian Literature,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"australian,literature,aust,management,design",,,,,,Course Link,,"This course introduces you to major issues and works in Australian literature, with a particular focus on material from the past two centuries. It will contextualise important works in terms of a range of local and global literary and cultural formations, thus providing a map of the complex and changing nature of national culture. You will study material by writers from diverse backgrounds, including Indigenous writers. You will also engage with the larger public culture of Australian Literature by considering the place of literature in contemporary life. If you are completing  a program in Education Studies, you will be offered the option of pursuing your study of Australian Literature through a pedagogical rubric."
ARTS2033,ARTS2033Undergraduate,Poetry and Poetics,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"poetry,poetics,poet,management,design",,,,,,Course Link,,"What is poetry? How do we know a poem when we see it, and why is poetry the most moving, the most challenging, and the most memorable of literary forms? In this course you will encounter a range of accomplished and influential works from across the globe and across the centuries: from ravishing love poems to comic ballads, from hip hop to digital poetry. You will learn to think about such works in relation to their historical contexts, from political revolution to scientific developments. And you will discover new ways of thinking about poetry theoretically, from the significance of formal features such as voice and metre to the conceptual differences between poetry and other art forms such as music and the novel. The aim is to develop a thorough grounding in the history of poetry as a form, to hone your critical skills in analysing poetry, and to achieve a sophisticated grasp of contemporary debates about the nature and significance of poetry."
ARTS2034,ARTS2034Undergraduate,Shakespearean Drama,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"shakespearean,drama,shak,management,design",,,,,,Course Link,,"The course is an opportunity for you to enjoy and to understand Shakespeare's tremendous achievement in the theatre. We will take a wide variety of critical approaches to a diverse selection of his plays across multiple genres. We will perform close readings of Shakespeare's dazzling language and experiment with forms of ""distant reading"", examining character and plot through network analysis. We will ask whether Shakespeare's substantial borrowings from other writers represent adaptation or plagiarism, and we will explore the historical contexts and theatrical traditions in which he worked. We will think critically about how Shakespeare has over the centuries become such a canonical figure, and we will ask what Shakespeare has to tell us about politics and society today, in the age of Twitter and Trump. By the end of the course, you will have gained a sophisticated appreciation of the breadth and depth, the complexity and the pleasures of Shakespeare's theatrical art."
ARTS2035,ARTS2035Undergraduate,American Literature: Past and Present,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"american,literature,past,present,amer",,,,,,Course Link,,"This course offers a wide-ranging survey of American fiction and poetry. Our texts will be drawn from a range of historical periods, but we will pay especially close attention to the American century—the twentieth—and its aftermath. How, we will ask, are the defining fault-lines and contradictions of contemporary American society reflected in its literature? How have American writers responded to the historical vectors that shaped America’s present and what handle can novels, short stories, poems and other literary forms give us on the defining tensions of the American experiment? We will read classic works from the American canon alongside the best contemporary writing in order both to navigate a path through the complex literary history of the United States and construct an imaginary portrait of the world's most powerful nation."
ARTS2036,ARTS2036Undergraduate,Modernism,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"modernism,mode,management,design,research",,,,,,Course Link,,"This course introduces you to the wave of experimentation in the arts that we have come to call modernism. During the first forty or so years of the twentieth century, traditional art forms underwent an unprecedented process of revolution and innovation, as artists and writers sought radically new ways to express the experience of modernity. We will consider the works of a range of individual European and North American modernist writers and film-makers, as well as examining some of the many collective movements, groupuscules and “isms” that sprang up during this period. A touchstone of our inquiry will be the vexed relationship between “modernity” as a historical condition and “modernism” as a cultural movement. What does it mean to be modern? What happens to art when traditional beliefs and ways of life enter a period of permanent crisis – a period, that is, when “all that is solid melts into air”? And does modernist culture teach us ways to feel at home in modernity, or does it remind us of our alienation?"
ARTS2040,ARTS2040Undergraduate,Global Literature Now: Reading the Literary Present,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"global,literature,now,reading,literary",,,,,,Course Link,,"This course will introduce you to the field of contemporary literature in English. We will think about the idea of the present, and of the contemporary as a distinct period in literary study. We will discuss aspects of literary form and genre in novels, graphic novels, short stories, poems and film scripts written since 2000. We will investigate topic areas such as ‘Being Human’, ‘Body/Desire’ and ‘Experiment’."
ARTS2042,ARTS2042Undergraduate,The Business of Literature,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"business,literature,the,management,design",,,,,,Course Link,,"This course aims to orient you to the diversity of opportunities open to those who work in literary industries, including writers, publishers, and translators, with a focus on international texts and practices. It draws on a range of practical, theoretical, analytical and creative skills and approaches to examine the ways that literature and the literary are embedded in social, political, economic, and aesthetic realities in a range of global contexts. At its heart is a focus on the machinery of writing industries from Asia-Pacific to the Middle East and the Americas, which you will examine through a series of case studies and with the guidance of practitioners from fields such as publishing, translating, and editing. It will equip you to participate in a variety of careers in the field of the arts and humanities."
ARTS2050,ARTS2050Undergraduate,Academic Writing for the Humanities,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"academic,writing,humanities,acad,management",,,,,,Course Link,,"This course develops students’ capacity to write academic essays according to the conventions of the Humanities. It provides the knowledge and vocabulary by which students can critically analyse the work of others as well as their own. The course focuses sustained attention on various modes of academic writing that are used in essay writing and shows how these may be deployed to present a strong argument. The course includes analysis of a range of exemplars as well as essays from academic journals researched by students and related to their disciplinary interests. This study will be accompanied by writing exercises, writing workshops and detailed feedback from both peers and staff."
ARTS2061,ARTS2061Undergraduate,Contemporary Approaches to Cinema,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"contemporary,approaches,cinema,cont,management",,,,,,Course Link,,"This course introduces students to some of the key debates in contemporary film theory from the 1970s to the present. It enables students to view and study a variety of filmmaking practices - including political cinemas, cult film, experimental film and video, as well as mainstream cinemas - and looks at some of the diverse ways that film has been understood and debated by both filmmakers and film theorists. Provides a foundation for upper level study in Film Studies."
ARTS2062,ARTS2062Undergraduate,Australian Cinema,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"australian,cinema,aust,management,design",,,,,,Course Link,,"This course traces the emergence and significance of Australian cinema culture. You will study the development of the Australian film industry, including analysis of the economic, social and political factors and the myths which have shaped the industry. You will also study the role of the Australian screen in shaping the experience of modern Australia and its place in the world. The course also explores a range of mainstream and non-mainstream forms of audio-visual production in Australia. The topics, films and critical texts have all been selected to encourage the study of a wide range of Australia’s national cinema.  "
ARTS2063,ARTS2063Undergraduate,Cinema and Nation,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"cinema,nation,cine,management,design",,,,,,Course Link,,"How do cinemas speak for, to and about the nation? In this course you will engage with a variety of debates that have taken place at the intersection between cinema and nation and consider how various film practices contribute to the shaping of national film cultures. Through the case study of one or more national cinemas, you will consider how particular national cinemas—as both industries and cultural products—are determined by historical, political and cultural contexts, and how these contexts may affect the aesthetic and stylistic concerns of particular films and filmmakers. "
ARTS2064,ARTS2064Undergraduate,A Case Study of Film Genre,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"case,study,film,genre,management",,,,,,Course Link,,"Film genres are more than the mechanism of classification based on subject matter that we associate with the western, the horror film, or the musical. From producers to consumers, from studio moguls to directors, to critics, fans and aficionados, the notion of genre is used to help determine a film’s meaning. Genre films work within and have the opportunity to reflect upon society’s primary myths of identity and individuality, freedoms and responsibilities, cultural stability, and social change. This course will consider some of the most fascinating questions raised by genre films: What are the parameters for standardization and innovation within film genres? How do individual filmmakers rework the conventions of a genre to maintain its relevance to their time? In what sense can film genres operate as instigators of change? How do genre films reflect the ravages of history? By examining these questions, you will develop a rich understanding of how genre works and the major debates around the use of the concept in film studies and cultural industries."
ARTS2065,ARTS2065Undergraduate,Screen Production II,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"screen,production,ii,scre,management",,,,,,Course Link,,"This course provides you with a practical understanding of film language, narrative and pre-production processes. By exploring the construction and use of images and sounds through workshop exercises and case studies of specific film practices, you will gain an understanding of the technical, aesthetic and sensory workings of screen production. You will develop a basic understanding of how film language works and in so doing will develop an understanding of the creative potential of the medium. In this course you will explore ways of preparing narrative outlines and storyboards, learn how to capture and generate images and sounds, experiment with existing images and sounds and the editing process. The course will explore the creative potential of audio-visual media and deal with a range of practical and conceptual problems in developing group projects."
ARTS2066,ARTS2066Undergraduate,Writing for the Screen,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"writing,screen,writ,management,design",,,,,,Course Link,,"This course provides a unique opportunity to learn the fundamentals of writing for the screen. Classes are structured to ensure a supportive environment to hone your unique creative voice, build your skills in visual storytelling, and write a short film screenplay to completion. You will be encouraged to pursue your curiosity with story ideas, experiment with form and content, and consider your position as a writer in the exciting global field of screenwriting. Lectures and seminars are supported by film screenings, readings, in-class discussions, practical writing exercises, workshops, the analysis of the work of your peers, and peer feedback. Our classes explore key aspects of writing for the screen, such as character and narrative design, a consideration of visual style, crafting dialogue and descriptions, shaping a logline and synopsis, etc. The training provided in this course and the knowledge and skills developed in this course, including the opportunity to give and receive peer feedback and learn key screen industry conventions, will help you develop the confidence to tell stories for the screen in a fresh and engaging way."
ARTS2068,ARTS2068Undergraduate,Doing Film Festivals,"Faculty of Arts, Design & Arch",School of the Arts & Media,,"doing,film,festivals,doin,management",,,,,,Course Link,,"Film festivals can have a powerful effect on cinema, but they can also be important events for communities and local economies. In this course you will develop an understanding of the internal workings of a film festival by examining the creative, historical, economic and logistical demands of staging a range of film festivals. You will examine the major movements, production trends and scholarly debates in the study of film festivals and some of the films that appear at specific film festivals. You will work collaboratively to produce a short film during the course that will either document a specific film festival and their community or will be a short film submitted to a festival. You will learn how producing a film in a specific context may address ethical and philosophical questions concerning the relationship between filmmakers, the community, and audiences. In addition to developing your production skills, you will gain valuable experience in writing and pitching and developing the idea for a new, unique curated film festival."
ARTS2105,ARTS2105Undergraduate,Happiness and Philosophy,"Faculty of Arts, Design & Arch",School Humanities & Languages,,"happiness,philosophy,happ,management,design",,,,,,Course Link,,"Happiness has been pursued by individuals and groups across many cultures and times. Yet it is a concept that takes many different forms and inspires passionate debate and deep disagreement. This course will draw on the history of philosophy across several traditions, as well as contemporary research, to explore questions such as, what is the relationship between happiness and pleasure? Is happiness an emotion, a mental state, a social construct, or an objective condition? How is well-being/happiness pursued across different cultures, including Australian Indigenous cultures? And what does happiness have to do, if anything, with the philosophical idea of a well-lived life? This course doesn’t promise to make you happy, but it will certainly help you to clarify your thinking about happiness and the meaning(s) of life."
